Month,Active_Earning_Members,Hours_Per_Member,Total_Member_Hours,Projects,GMV,Member_Earnings,Cooperative_Revenue,Variable_Cost,Contribution,Fixed_Cost,Operating_Surplus
2026-01-01 00:00:00,20,15,300,9.646302251,564308.6817,479662.3794,84646.30225,16929.26045,67717.0418,120000,-52282.9582
2026-02-01 00:00:00,25,18,450,14.46945338,846463.0225,719493.5691,126969.4534,25393.89068,101575.5627,130000,-28424.4373
2026-03-01 00:00:00,30,20,600,19.2926045,1128617.363,959324.7588,169292.6045,33858.5209,135434.0836,150000,-14565.9164
2026-04-01 00:00:00,40,22,880,28.29581994,1655305.466,1407009.646,248295.8199,49659.16399,198636.6559,170000,28636.65595
2026-05-01 00:00:00,50,24,1200,38.585209,2257234.727,1918649.518,338585.209,67717.0418,270868.1672,200000,70868.1672
2026-06-01 00:00:00,65,25,1625,52.25080386,3056672.026,2598171.222,458500.8039,91700.16077,366800.6431,230000,136800.6431
2026-07-01 00:00:00,80,27,2160,69.45337621,4063022.508,3453569.132,609453.3762,121890.6752,487562.701,270000,217562.701
2026-08-01 00:00:00,100,28,2800,90.03215434,5266881.029,4476848.875,790032.1543,158006.4309,632025.7235,320000,312025.7235
2026-09-01 00:00:00,120,28,3360,108.0385852,6320257.235,5372218.65,948038.5852,189607.717,758430.8682,370000,388430.8682
2026-10-01 00:00:00,140,30,4200,135.0482315,7900321.543,6715273.312,1185048.232,237009.6463,948038.5852,420000,528038.5852
2026-11-01 00:00:00,160,30,4800,154.340836,9028938.907,7674598.071,1354340.836,270868.1672,1083472.669,470000,613472.6688
2026-12-01 00:00:00,180,30,5400,173.6334405,10157556.27,8633922.83,1523633.441,304726.6881,1218906.752,520000,698906.7524
